date,stock_id,Trading_Volume,Trading_money,open,max,min,close,spread,Trading_turnover
2022-07-04,1514,3116381,90782561,29.25,29.5,28.5,29.45,0.35,1662
2022-07-05,1514,3272435,95990622,29.5,29.8,28.85,29.35,-0.1,1877
2022-07-06,1514,2353424,67999134,29.3,29.3,28.5,28.8,-0.55,1228
2022-07-07,1514,3974796,116829103,29.0,29.8,28.4,29.75,0.95,2037
2022-07-08,1514,5876271,177565176,30.05,30.65,29.75,30.35,0.6,2969
2022-07-11,1514,6578194,204110477,30.85,31.45,30.5,31.3,0.95,3409
2022-07-12,1514,8050501,248039114,31.6,31.75,30.05,30.45,-0.85,4683
2022-07-13,1514,14037923,450485645,31.45,32.75,30.95,32.2,1.75,6741
2022-07-14,1514,9414447,302619912,31.9,32.85,31.3,32.85,0.65,4750
2022-07-15,1514,6637066,218204989,32.8,33.35,32.3,33.3,0.45,3435
2022-07-18,1514,15407676,550938150,33.75,36.6,33.55,36.6,3.3,7069
2022-07-19,1514,28314117,1044740739,36.15,37.9,36.0,37.8,1.2,13966
2022-07-20,1514,12671476,476140607,37.8,38.2,36.9,38.0,0.2,6781
2022-07-21,1514,19767759,687384994,38.0,38.05,34.2,34.2,-3.8,9613
2022-07-22,1514,12589956,411314511,32.8,34.0,32.0,32.15,-2.05,6794
2022-07-25,1514,9448631,305682495,31.95,32.8,31.95,32.25,0.1,4349
2022-07-26,1514,7982218,254042122,31.8,32.45,31.1,32.2,-0.05,4193
2022-07-27,1514,3847206,124131183,31.8,32.55,31.8,32.4,0.2,1931
2022-07-28,1514,8869861,292518128,32.45,33.45,32.4,33.0,0.6,4666
2022-07-29,1514,10481544,354006852,33.4,34.55,33.0,34.2,1.2,5547
2022-08-01,1514,7315173,253267536,34.2,35.1,33.85,34.9,0.7,4302
2022-08-02,1514,8601844,293308864,34.55,35.1,33.5,34.2,-0.7,4889
2022-08-03,1514,4275801,144558344,33.8,34.45,33.45,33.6,-0.6,2601
2022-08-04,1514,5318814,175823821,33.3,33.75,32.35,33.6,0.0,2963
2022-08-05,1514,4085207,140288075,33.95,34.65,33.75,34.65,1.05,2467
2022-08-08,1514,5173277,180901456,34.85,35.25,34.45,34.95,0.3,3192
2022-08-09,1514,12149437,387175206,33.0,33.1,31.5,31.55,-3.4,6813
2022-08-10,1514,4547915,145259945,31.45,32.3,31.2,32.1,0.55,2603
2022-08-11,1514,2556770,81995333,32.25,32.4,31.8,32.0,-0.1,1516
2022-08-12,1514,3612520,114522314,31.6,32.15,31.2,31.7,-0.3,1997
2022-08-15,1514,3277897,105730276,31.65,32.6,31.65,32.45,0.75,1912
2022-08-16,1514,3656361,121044327,32.6,33.6,32.6,33.0,0.55,2294
2022-08-17,1514,3385317,113158043,33.0,33.7,33.0,33.45,0.45,1898
2022-08-18,1514,3197483,108597404,33.5,34.3,33.3,34.0,0.55,1940
2022-08-19,1514,3923242,135010675,34.45,34.75,34.1,34.35,0.35,2242
2022-08-22,1514,5062806,177924732,34.5,35.5,34.35,35.2,0.85,3072
2022-08-23,1514,7219311,256173393,35.2,36.3,34.05,35.7,0.5,4142
2022-08-24,1514,6205572,226548631,36.45,36.8,36.0,36.6,0.9,3690
2022-08-25,1514,7081413,255625793,36.9,36.9,35.5,36.15,-0.45,4265
2022-08-26,1514,4204676,152651561,36.15,36.7,36.05,36.2,0.05,2227
2022-08-29,1514,4147352,139462915,33.2,34.45,33.0,33.4,0.0,2585
2022-08-30,1514,5641933,195983564,33.95,35.75,33.7,34.4,1.0,3503
2022-08-31,1514,3569935,121480508,35.05,35.05,33.75,33.9,-0.5,2348
2022-09-01,1514,3559561,118138773,33.6,34.0,32.8,32.85,-1.05,2188
2022-09-02,1514,2265979,73816676,32.95,33.1,32.2,32.5,-0.35,1468
2022-09-05,1514,1626879,52696671,32.5,32.75,32.0,32.0,-0.5,1149
2022-09-06,1514,2236371,70635592,32.2,32.35,31.15,31.15,-0.85,1395
2022-09-07,1514,1869291,57220797,30.7,31.25,30.35,30.4,-0.75,1303
2022-09-08,1514,2136074,66328909,30.95,31.3,30.75,31.2,0.8,1449
2022-09-12,1514,2413654,75464117,31.6,31.85,31.05,31.2,0.0,1421
2022-09-13,1514,1934922,61272231,31.35,31.95,31.25,31.8,0.6,1175
2022-09-14,1514,2429512,75773382,31.1,31.6,30.85,31.2,-0.6,1450
2022-09-15,1514,2231569,69980406,31.45,31.8,31.05,31.3,0.1,1354
2022-09-16,1514,3835067,119422455,31.45,31.75,30.55,30.6,-0.7,2294
2022-09-19,1514,6679128,209375625,30.75,32.0,30.6,30.75,0.15,3797
2022-09-20,1514,3210669,99600501,30.95,31.35,30.55,31.15,0.4,2159
2022-09-21,1514,2207783,68474170,30.95,31.5,30.6,30.7,-0.45,1449
2022-09-22,1514,2037309,62112532,30.7,30.9,30.1,30.7,0.0,1263
2022-09-23,1514,2463870,74408180,30.7,30.9,29.75,29.85,-0.85,1606
2022-09-26,1514,3093275,88772987,29.35,29.35,28.05,28.45,-1.4,1824
2022-09-27,1514,1780861,50525618,28.7,28.8,27.95,28.75,0.3,1042
2022-09-28,1514,3449154,97238777,28.85,29.05,27.55,27.55,-1.2,2005
2022-09-29,1514,1640039,46157497,27.85,28.4,27.8,28.1,0.55,829
2022-09-30,1514,1592406,43518229,27.55,27.9,26.75,27.85,-0.25,1250
2022-10-03,1514,1266390,34886884,27.5,27.75,27.2,27.6,-0.25,929
2022-10-04,1514,982207,27557373,28.0,28.25,27.75,28.05,0.45,730
2022-10-05,1514,1845950,52169842,28.3,28.6,27.95,28.2,0.15,1166
2022-10-06,1514,914012,25676164,28.25,28.4,27.9,28.0,-0.2,594
2022-10-07,1514,1194226,33118674,27.95,28.15,27.55,27.55,-0.45,813
2022-10-11,1514,1630444,43875254,27.25,27.25,26.65,27.0,-0.55,1061
2022-10-12,1514,1245616,33542772,27.0,27.2,26.65,27.2,0.2,917
2022-10-13,1514,3899589,101004101,27.15,27.15,25.3,25.45,-1.75,2046
2022-10-14,1514,1914302,50535882,26.0,26.7,26.0,26.5,1.05,995
2022-10-17,1514,1593013,41218329,26.15,26.2,25.4,26.2,-0.3,783
2022-10-18,1514,836675,21999532,26.55,26.7,26.1,26.3,0.1,637
2022-10-19,1514,636167,16737758,26.5,26.6,26.0,26.1,-0.2,495
2022-10-20,1514,1095485,27889753,25.85,25.85,25.2,25.5,-0.6,714
2022-10-21,1514,1104561,27788058,25.5,25.5,25.0,25.0,-0.5,730
2022-10-24,1514,1135973,28987436,25.45,25.65,25.35,25.45,0.45,662
2022-10-25,1514,1101053,27796094,25.6,25.6,24.95,25.15,-0.3,811
2022-10-26,1514,1538516,38326019,25.3,25.35,24.6,24.9,-0.25,996
2022-10-27,1514,1575001,39478522,25.0,25.25,24.8,25.15,0.25,816
2022-10-28,1514,1276330,31610651,25.1,25.2,24.55,24.55,-0.6,785
2022-10-31,1514,1352103,33714846,24.7,25.25,24.6,25.0,0.45,700
2022-11-01,1514,1390994,35479276,25.0,25.75,25.0,25.55,0.55,817
2022-11-02,1514,826573,21074194,25.5,25.75,25.25,25.5,-0.05,594
2022-11-03,1514,602866,15299732,25.3,25.55,25.0,25.5,0.0,475
2022-11-04,1514,1024932,26143399,25.45,25.7,25.25,25.65,0.15,588
2022-11-07,1514,1752053,45645986,25.85,26.25,25.8,26.1,0.45,1000
2022-11-08,1514,4801905,128356945,26.3,27.1,25.85,26.6,0.5,2588
2022-11-09,1514,3397362,91076106,26.9,27.35,26.35,26.9,0.3,1801
2022-11-10,1514,2069768,55729323,27.0,27.25,26.7,26.85,-0.05,1262
2022-11-11,1514,2226837,60350199,27.5,27.6,26.8,26.9,0.05,1262
2022-11-14,1514,1586859,42825293,26.9,27.15,26.7,27.0,0.1,976
2022-11-15,1514,1721820,46783590,27.15,27.35,26.95,27.25,0.25,993
2022-11-16,1514,1574109,42591707,27.4,27.4,26.85,26.9,-0.35,874
2022-11-17,1514,2708701,74535448,26.9,27.85,26.9,27.45,0.55,1564
2022-11-18,1514,1111399,30318447,27.4,27.6,27.05,27.05,-0.4,852
2022-11-21,1514,2835673,79001539,27.2,28.15,27.2,27.85,0.8,1547
2022-11-22,1514,7042132,198153698,28.0,28.6,27.8,27.85,0.0,3633
2022-11-23,1514,2030177,56163975,27.85,28.15,27.4,27.65,-0.2,1309
2022-11-24,1514,2843925,79959475,27.9,28.4,27.65,28.3,0.65,1523
2022-11-25,1514,8216322,239658283,28.9,29.8,28.8,29.0,0.7,4667
2022-11-28,1514,2011063,57765827,29.05,29.05,28.5,28.75,-0.25,1284
2022-11-29,1514,1387405,39768601,28.7,28.85,28.4,28.8,0.05,900
2022-11-30,1514,1851366,53901252,28.9,29.25,28.9,29.2,0.4,1015
2022-12-01,1514,2123634,62396893,29.5,29.55,29.2,29.2,0.0,1119
2022-12-02,1514,12304866,380543212,29.4,31.8,29.3,31.35,2.15,6718
2022-12-05,1514,4694623,145527364,31.55,31.65,30.7,30.75,-0.6,3348
2022-12-06,1514,12229623,386226901,30.8,32.9,30.65,30.85,0.1,7096
2022-12-07,1514,4804554,146092307,30.7,31.3,29.85,30.0,-0.85,2762
2022-12-08,1514,1237538,37429407,30.2,30.4,30.05,30.4,0.4,882
2022-12-09,1514,2029185,61584710,30.45,30.65,30.1,30.3,-0.1,1198
2022-12-12,1514,1520426,46130120,30.05,30.65,29.85,30.5,0.2,1016
2022-12-13,1514,1573366,47860571,30.5,30.85,30.0,30.15,-0.35,988
2022-12-14,1514,1136558,34631732,30.5,30.7,30.2,30.4,0.25,764
2022-12-15,1514,1787215,54970998,30.7,31.0,30.45,30.75,0.35,1129
2022-12-16,1514,1991467,60123042,30.35,30.55,29.9,30.05,-0.7,1157
2022-12-19,1514,1120525,33341680,30.0,30.0,29.6,29.7,-0.35,781
2022-12-20,1514,2780135,81469821,29.85,30.15,28.6,28.6,-1.1,1595
2022-12-21,1514,1845372,54383140,29.25,29.75,29.1,29.45,0.85,998
2022-12-22,1514,1201386,35451538,29.8,29.8,29.2,29.45,0.0,877
2022-12-23,1514,626317,18388245,29.4,29.65,29.05,29.45,0.0,536
2022-12-26,1514,1239770,37080384,29.7,30.15,29.6,30.05,0.6,843
2022-12-27,1514,974658,29260028,30.3,30.3,29.8,29.8,-0.25,709
2022-12-28,1514,1086051,31930144,29.6,29.8,29.1,29.2,-0.6,754
2022-12-29,1514,2145274,63031886,29.25,29.7,29.0,29.45,0.25,1325
2022-12-30,1514,942585,27820693,29.55,29.85,29.3,29.35,-0.1,590
2023-01-03,1514,8737813,266721139,29.6,31.3,29.35,30.5,1.15,4839
2023-01-04,1514,16121609,510527395,30.3,32.45,30.3,31.3,0.8,9021
2023-01-05,1514,5211359,163778236,31.5,31.85,31.15,31.45,0.15,3048
2023-01-06,1514,2773030,85741383,31.15,31.3,30.65,31.15,-0.3,1611
2023-01-09,1514,5093333,162545830,32.2,32.35,31.6,32.0,0.85,2730
2023-01-10,1514,7666807,246939574,32.3,32.65,31.55,31.75,-0.25,4256
2023-01-11,1514,3799487,121769035,31.95,32.25,31.8,32.0,0.25,2218
2023-01-12,1514,3140423,101459085,32.35,32.5,32.1,32.25,0.25,1714
2023-01-13,1514,2642681,84479285,32.5,32.6,31.55,31.55,-0.7,1968
2023-01-16,1514,4136953,133421313,31.65,32.45,31.65,32.25,0.7,2145
2023-01-17,1514,6488966,212633985,32.6,33.0,32.45,32.9,0.65,3859
2023-01-30,1514,6914233,231646370,33.8,34.6,33.05,33.3,0.4,4727
2023-01-31,1514,9355919,318629401,33.35,34.5,33.15,34.15,0.85,4636
2023-02-01,1514,6078612,205915670,34.6,34.65,33.3,33.65,-0.5,3907
2023-02-02,1514,5616100,187300938,33.45,33.9,33.05,33.1,-0.55,2871
2023-02-03,1514,2717478,89190022,33.4,33.4,32.6,32.7,-0.4,1697
2023-02-06,1514,1443953,47542634,32.7,33.05,32.7,33.0,0.3,993
2023-02-07,1514,1578583,51781310,33.0,33.05,32.7,32.8,-0.2,1040
2023-02-08,1514,2681772,87542550,32.75,33.0,32.4,32.55,-0.25,1638
2023-02-09,1514,3037250,100186417,32.5,33.25,32.35,33.0,0.45,1776
2023-02-10,1514,3607623,119848401,33.15,33.55,32.8,32.95,-0.05,1964
2023-02-13,1514,1983982,65390472,32.8,33.3,32.55,33.1,0.15,1192
2023-02-14,1514,3150997,105640857,33.35,33.85,33.15,33.7,0.6,1753
2023-02-15,1514,11181591,381742472,33.95,34.75,33.5,33.6,-0.1,6347
2023-02-16,1514,4092570,139396510,34.0,34.5,33.7,33.8,0.2,2790
2023-02-17,1514,7055713,243049736,33.75,34.7,33.65,34.65,0.85,4021
2023-02-20,1514,9139367,322607146,35.85,35.85,34.75,35.5,0.85,5300
2023-02-21,1514,14229189,519882852,35.3,37.2,35.3,37.1,1.6,7821
2023-02-22,1514,42408738,1666605621,37.5,40.8,37.05,40.55,3.45,22807
2023-02-23,1514,32376418,1318874410,41.0,41.8,39.6,40.15,-0.4,18158
2023-02-24,1514,13435691,526628125,40.65,40.8,38.25,38.4,-1.75,8087
2023-03-01,1514,6597923,248838228,38.3,38.5,37.4,37.5,-0.9,4153
2023-03-02,1514,5015756,188177620,37.6,37.85,37.0,37.7,0.2,3031
2023-03-03,1514,10615288,411418465,37.9,39.65,37.85,39.15,1.45,6443
2023-03-06,1514,8618169,343648666,39.25,40.45,38.95,39.95,0.8,5478
2023-03-07,1514,16690934,688730674,40.2,42.35,40.15,41.3,1.35,9892
2023-03-08,1514,24435928,1038388189,41.3,44.0,41.3,42.4,1.1,14438
2023-03-09,1514,12843796,536121660,42.45,43.05,40.8,41.5,-0.9,8440
2023-03-10,1514,7102828,286754176,41.3,41.3,39.75,40.15,-1.35,4521
2023-03-13,1514,5204204,205299543,39.65,40.15,38.65,39.7,-0.45,3158
2023-03-14,1514,4350415,173487840,39.8,40.3,39.5,39.55,-0.15,2798
2023-03-15,1514,6820638,267212566,39.45,39.9,38.6,38.85,-0.7,4156
2023-03-16,1514,8629075,324975519,38.85,38.9,36.7,37.5,-1.35,4951
2023-03-17,1514,3641224,137600848,38.2,38.2,37.2,37.95,0.45,2246
2023-03-20,1514,7921676,311650617,38.0,39.9,37.95,39.8,1.85,4932
